idx,v0_x,v0_y,v1_x,v1_y,order
27,-9.224676592840407,23.68499938822397,-10.963539467088456,25.313822301189333,
27,-9.224676592840407,23.68499938822397,-11.59215926449177,21.756576910532296,
27,-9.224676592840407,23.68499938822397,-9.200465001888372,20.544425595697625,
27,-9.224676592840407,23.68499938822397,-11.151175984521672,20.902565279314153,
27,-9.224676592840407,23.68499938822397,-10.815518541807442,26.72189134335501,
27,-9.224676592840407,23.68499938822397,-6.525986451996861,26.228826908090397,
27,-9.224676592840407,23.68499938822397,-12.94836839068384,25.702725342079084,
28,24.569177674226466,26.85743166871162,23.642635545600456,28.191264781447373,
28,24.569177674226466,26.85743166871162,26.811584659971878,27.21381520908269,
28,24.569177674226466,26.85743166871162,25.504651243158577,24.2007197063394,
28,24.569177674226466,26.85743166871162,26.953205146594335,28.54997344504043,
28,24.569177674226466,26.85743166871162,26.651399324718263,24.722459461275633,
28,24.569177674226466,26.85743166871162,27.767160088488573,24.92687170145249,
28,24.569177674226466,26.85743166871162,28.436220048506463,28.247093685912425,
29,-15.71227157605078,22.009499225181578,-14.759099977444992,22.249294930953937,
29,-15.71227157605078,22.009499225181578,-15.69923359206163,19.965892759973073,
29,-15.71227157605078,22.009499225181578,-14.106909065862318,25.542194888027325,
29,-15.71227157605078,22.009499225181578,-11.59215926449177,21.756576910532296,
29,-15.71227157605078,22.009499225181578,-14.202316598737868,17.822968844475824,
29,-15.71227157605078,22.009499225181578,-12.94836839068384,25.702725342079084,
29,-15.71227157605078,22.009499225181578,-11.151175984521672,20.902565279314153,
30,26.811584659971878,27.21381520908269,26.953205146594335,28.54997344504043,1
30,26.811584659971878,27.21381520908269,28.436220048506463,28.247093685912425,1
30,26.811584659971878,27.21381520908269,24.569177674226466,26.85743166871162,1
30,26.811584659971878,27.21381520908269,27.767160088488573,24.92687170145249,1
30,26.811584659971878,27.21381520908269,26.651399324718263,24.722459461275633,1
30,26.811584659971878,27.21381520908269,25.504651243158577,24.2007197063394,1
30,26.811584659971878,27.21381520908269,23.642635545600456,28.191264781447373,1
31,25.17730785218106,5.108069543276912,24.466238759972136,6.074481001926706,7
31,25.17730785218106,5.108069543276912,24.157359213009933,7.282282863651922,7
31,25.17730785218106,5.108069543276912,24.00417146929687,2.2594663653572162,7
31,25.17730785218106,5.108069543276912,26.26796418038304,8.043929723989926,7
31,25.17730785218106,5.108069543276912,24.30828785834285,8.547564373752394,7
31,25.17730785218106,5.108069543276912,26.002189884082433,9.003084286017419,7
31,25.17730785218106,5.108069543276912,26.35187331176222,0.2996402268986742,7
32,-12.808952463449593,-12.790808219025205,-11.819971333490841,-11.703738168290329,19
32,-12.808952463449593,-12.790808219025205,-11.288293459554897,-13.718659858851852,19
32,-12.808952463449593,-12.790808219025205,-10.693004664127095,-12.073025159482917,19
32,-12.808952463449593,-12.790808219025205,-10.808148440011436,-11.065849531474637,19
32,-12.808952463449593,-12.790808219025205,-11.024300702310885,-9.882926062283843,19
32,-12.808952463449593,-12.790808219025205,-8.909316977546776,-13.025181747454187,19
32,-12.808952463449593,-12.790808219025205,-8.428159517424493,-12.993613450287821,19
33,-28.623176002779093,-2.651243766674977,-28.508953085707347,-2.3970069535681837,
33,-28.623176002779093,-2.651243766674977,-27.5198925864248,-2.953101849326252,
33,-28.623176002779093,-2.651243766674977,-26.892648340136876,-1.617844372910092,
33,-28.623176002779093,-2.651243766674977,-26.66643490965888,-0.47459061256389035,
33,-28.623176002779093,-2.651243766674977,-25.780599798692876,-4.5621631838988534,
33,-28.623176002779093,-2.651243766674977,-26.728903900466218,0.3143847118049443,
33,-28.623176002779093,-2.651243766674977,-26.144215295446195,-7.282110358149755,
34,3.6917469884901237,-12.702291333499335,3.691969642203155,-11.520922418871297,14
34,3.6917469884901237,-12.702291333499335,0.5167483426908959,-14.124685832685476,14
34,3.6917469884901237,-12.702291333499335,5.2850610607259085,-17.95533685683612,14
34,3.6917469884901237,-12.702291333499335,9.043766713776968,-10.782779437094444,14
34,3.6917469884901237,-12.702291333499335,9.644438065184872,-14.253720004439987,14
34,3.6917469884901237,-12.702291333499335,10.181666173644956,-12.677699725459338,14
34,3.6917469884901237,-12.702291333499335,11.628539991424262,-13.074137234661062,14
35,7.165730695896208,26.517031419634378,7.40199646662996,24.715118851452175,
35,7.165730695896208,26.517031419634378,8.310717254649134,27.9845912086004,
35,7.165730695896208,26.517031419634378,4.743836383028068,28.15655689238222,
35,7.165730695896208,26.517031419634378,1.0926197198641567,25.73214325011803,
35,7.165730695896208,26.517031419634378,12.994738535119268,23.56848904203202,
35,7.165730695896208,26.517031419634378,12.72041931986277,20.009196045674138,
35,7.165730695896208,26.517031419634378,13.617146304283011,20.827825544270297,
36,-18.49035788228955,-15.443545518803289,-16.95905411417391,-15.857769668357282,
36,-18.49035788228955,-15.443545518803289,-20.82593241252291,-14.5563642380541,
36,-18.49035788228955,-15.443545518803289,-17.959468736462107,-11.813827767764547,
36,-18.49035788228955,-15.443545518803289,-24.432349318172676,-13.72291096068566,
36,-18.49035788228955,-15.443545518803289,-12.808952463449593,-12.790808219025205,
36,-18.49035788228955,-15.443545518803289,-11.288293459554897,-13.718659858851852,
36,-18.49035788228955,-15.443545518803289,-11.819971333490841,-11.703738168290329,
37,24.232005511819864,-7.973610810472017,23.736070763372993,-6.1648521894815715,
37,24.232005511819864,-7.973610810472017,26.69668192810962,-8.726637861490108,
